danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.621,0.814,9,-6.667,1,0.267,0.317,6.51E-06,0.144,0.317,61.723,audio_features,6JMRQPfLQSvDcVRBwfSjsm,spotify:track:6JMRQPfLQSvDcVRBwfSjsm,https://api.spotify.com/v1/tracks/6JMRQPfLQSvDcVRBwfSjsm,https://api.spotify.com/v1/audio-analysis/6JMRQPfLQSvDcVRBwfSjsm,152195,4
0.279,0.275,0,-15.071,1,0.0335,0.39,2.65E-01,0.068,0.0486,147.606,audio_features,0ggdUU9CzynaJYu9sls52G,spotify:track:0ggdUU9CzynaJYu9sls52G,https://api.spotify.com/v1/tracks/0ggdUU9CzynaJYu9sls52G,https://api.spotify.com/v1/audio-analysis/0ggdUU9CzynaJYu9sls52G,293933,4
0.274,0.295,7,-14.627,1,0.0444,0.144,4.59E-03,0.0866,0.0551,137.284,audio_features,15l4UEZ7f3Ybm1bTA10iAF,spotify:track:15l4UEZ7f3Ybm1bTA10iAF,https://api.spotify.com/v1/tracks/15l4UEZ7f3Ybm1bTA10iAF,https://api.spotify.com/v1/audio-analysis/15l4UEZ7f3Ybm1bTA10iAF,218209,3
0.502,0.337,8,-14.775,1,0.037,0.981,5.42E-01,0.102,0.365,187.814,audio_features,4w8i7d8Qw3Z0jkBhVS3F2I,spotify:track:4w8i7d8Qw3Z0jkBhVS3F2I,https://api.spotify.com/v1/tracks/4w8i7d8Qw3Z0jkBhVS3F2I,https://api.spotify.com/v1/audio-analysis/4w8i7d8Qw3Z0jkBhVS3F2I,264107,4
0.744,0.302,7,-13.526,1,0.0443,0.518,1.87E-04,0.0917,0.619,98.16,audio_features,3Ke6bQZOOLYvXTkTpHuhrp,spotify:track:3Ke6bQZOOLYvXTkTpHuhrp,https://api.spotify.com/v1/tracks/3Ke6bQZOOLYvXTkTpHuhrp,https://api.spotify.com/v1/audio-analysis/3Ke6bQZOOLYvXTkTpHuhrp,173600,4
0.781,0.396,0,-11.661,1,0.0732,0.687,1.40E-02,0.0761,0.518,127.073,audio_features,2x4LhG3gcVGIK5zuKl5bTJ,spotify:track:2x4LhG3gcVGIK5zuKl5bTJ,https://api.spotify.com/v1/tracks/2x4LhG3gcVGIK5zuKl5bTJ,https://api.spotify.com/v1/audio-analysis/2x4LhG3gcVGIK5zuKl5bTJ,220000,4
0.413,0.164,0,-14.579,1,0.0378,0.914,1.40E-05,0.0883,0.845,183.178,audio_features,41zpWL98BsYKP5nvtdTM5z,spotify:track:41zpWL98BsYKP5nvtdTM5z,https://api.spotify.com/v1/tracks/41zpWL98BsYKP5nvtdTM5z,https://api.spotify.com/v1/audio-analysis/41zpWL98BsYKP5nvtdTM5z,142000,4
0.727,0.387,1,-12.333,1,0.0412,0.248,1.02E-02,0.0625,0.966,160.395,audio_features,0CcL4kSHKIEwF3IW0BGgb6,spotify:track:0CcL4kSHKIEwF3IW0BGgb6,https://api.spotify.com/v1/tracks/0CcL4kSHKIEwF3IW0BGgb6,https://api.spotify.com/v1/audio-analysis/0CcL4kSHKIEwF3IW0BGgb6,150400,4
0.175,0.221,5,-24.627,0,0.0561,0.926,9.37E-01,0.105,0.214,136.335,audio_features,4bldw7te0ETMwhn6HbPxDk,spotify:track:4bldw7te0ETMwhn6HbPxDk,https://api.spotify.com/v1/tracks/4bldw7te0ETMwhn6HbPxDk,https://api.spotify.com/v1/audio-analysis/4bldw7te0ETMwhn6HbPxDk,181493,3
0.287,0.48,0,-8.69,0,0.0334,0.31,6.08E-02,0.287,0.324,81.269,audio_features,03i62TCU8OBzX7HutmWqVf,spotify:track:03i62TCU8OBzX7HutmWqVf,https://api.spotify.com/v1/tracks/03i62TCU8OBzX7HutmWqVf,https://api.spotify.com/v1/audio-analysis/03i62TCU8OBzX7HutmWqVf,287360,4
0.3,0.104,1,-15.601,1,0.0381,0.988,6.65E-03,0.0906,0.0403,78.109,audio_features,2MJWpmJg51IlOPRZY6amTB,spotify:track:2MJWpmJg51IlOPRZY6amTB,https://api.spotify.com/v1/tracks/2MJWpmJg51IlOPRZY6amTB,https://api.spotify.com/v1/audio-analysis/2MJWpmJg51IlOPRZY6amTB,250280,4
0.827,0.537,7,-8.116,0,0.0412,0.372,2.56E-05,0.132,0.683,104.962,audio_features,2QJCwttyjfqbuaLjYj2HTF,spotify:track:2QJCwttyjfqbuaLjYj2HTF,https://api.spotify.com/v1/tracks/2QJCwttyjfqbuaLjYj2HTF,https://api.spotify.com/v1/audio-analysis/2QJCwttyjfqbuaLjYj2HTF,182655,3
0.58,0.354,7,-5.722,1,0.0419,0.725,0.00E+00,0.118,0.214,72.049,audio_features,4unF8ldGPeedLz8HRIvgxg,spotify:track:4unF8ldGPeedLz8HRIvgxg,https://api.spotify.com/v1/tracks/4unF8ldGPeedLz8HRIvgxg,https://api.spotify.com/v1/audio-analysis/4unF8ldGPeedLz8HRIvgxg,222267,4
