episode,song,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,synced
N/A,HUMBLE.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAw,0.904,0.611,"C♯,D♭",-6.842,NA,0.0888,0.000259,0.00002,0.0976,0.4,150,4,NO
"The Umbrella Academy S1E4 - ""Man on the Moon""",Blood Like Lemonade,Morcheeba,7bsPIUEEOuL5WlOPcYUrYx,0.653,0.59,F,-9.649,TRUE,0.104,0.000942,0.378,0.2,0.625,168,4,YES
"Sex Education S1E4 - ""Episode 4""",Love Really Hurts Without You,Billy Ocean,4GhtDORJiSRYxj6M1bv0vX,0.518,0.907,F,-3.732,TRUE,0.0343,0.00221,1.15E-05,0.0838,0.961,140,4,YES
"Euphoria S1E6 - ""The Next Episode""",Love Surrounds You,Ramsey,3GqZnm8ONy68sMqTlxFrvk,0.464,0.572,G,-7.371,TRUE,0.0402,0.00229,0.000455,0.11,0.124,150,4,YES
N/A,XO TOUR Llif3,Lil Uzi Vert,7GX5flRQZVHRAGd6B4TmD,0.732,0.75,B,-6.366,NA,0.231,0.00264,0,0.109,0.401,155,4,NO
"The Umbrella Academy S1E1 - ""We Only See Each Other at Weddings and Funerals""",The Walker,Fitz and The Tantrums,0Nk7bSn0MItonkR0GNs3mj,0.77,0.801,A,-4.182,FALSE,0.0336,0.00375,0.00281,0.0515,0.725,130,4,YES
N/A,All Night,The Vamps,4b4KcovePX8Ke2cLIQTLM,0.544,0.809,"G♯,A♭",-5.098,NA,0.0363,0.0038,0,0.323,0.448,145,4,NO
N/A,Just Hold On,Steve Aoki,3EmmCZoqpWOTY1g2GBwJo,0.647,0.932,B,-3.515,NA,0.0824,0.00383,0.000002,0.0574,0.374,114,4,NO
N/A,Friends (with BloodPop®),Justin Bieber,7nZmah2llfvLDiUjm0kiy,0.744,0.739,"G♯,A♭",-5.35,NA,0.0387,0.00459,0,0.306,0.649,104,4,NO
"The Umbrella Academy S1E4 - ""Man on the Moon""",Shingaling,Tom Swoon,7CbZtCJJmr54zVEg9bOOdJ,0.665,0.763,"D♯,E♭",-5.868,TRUE,0.0319,0.00465,0.00215,0.246,0.38,125,4,YES
