episode,link,air_date,song,artist,spotify_id
"Lucifer S4E10 - ""Who's da New King of Hell?""",https://www.tunefind.com/show/lucifer/season-4/81559,2019-05-08,Heroes & Legends,3 One Oh,6JMRQPfLQSvDcVRBwfSjsm
"Lucifer S4E3 - ""O, Ye of Little Faith, Father""",https://www.tunefind.com/show/lucifer/season-4/81552,2019-05-08,Haunted,Adona,0ggdUU9CzynaJYu9sls52G
"Lucifer S4E10 - ""Who's da New King of Hell?""",https://www.tunefind.com/show/lucifer/season-4/81559,2019-05-08,My Love Will Never Die,"AG, Claire Wyndham",15l4UEZ7f3Ybm1bTA10iAF
"Euphoria S1E1 - ""Pilot""",https://www.tunefind.com/show/euphoria/season-1/84701,2019-06-16,Run Cried the Crawling,Agnes Obel,4w8i7d8Qw3Z0jkBhVS3F2I
"Sex Education S1E7 - ""Episode 7""",https://www.tunefind.com/show/sex-education/season-1/75496,2019-01-11,Tired of Being Alone,Al Green,3Ke6bQZOOLYvXTkTpHuhrp
"Euphoria S1E7 - ""The Trials and Tribulations of Trying to Pee While Depressed""",https://www.tunefind.com/show/euphoria/season-1/86513,2019-07-28,Be Mine,Amandla Stenberg,2x4LhG3gcVGIK5zuKl5bTJ
"Euphoria S1E1 - ""Pilot""",https://www.tunefind.com/show/euphoria/season-1/84701,2019-06-16,Can't Get Used to Losing You,Andy Williams,41zpWL98BsYKP5nvtdTM5z
"Sex Education S1E1 - ""Episode 1""",https://www.tunefind.com/show/sex-education/season-1/75456,2019-01-11,I Can't Stand the Rain,Ann Peebles,0CcL4kSHKIEwF3IW0BGgb6
"Euphoria S1E4 - ""Shook One Pt. II""",https://www.tunefind.com/show/euphoria/season-1/86006,2019-07-07,In My Dreams,ANOHNI,4bldw7te0ETMwhn6HbPxDk
"Euphoria S1E8 - ""And Salt the Earth Behind You""",https://www.tunefind.com/show/euphoria/season-1/86716,2019-08-04,My Body Is a Cage,Arcade Fire,03i62TCU8OBzX7HutmWqVf
"Dark S2E6 - ""Ein unendlicher Kreis""",https://www.tunefind.com/show/dark/season-2/84967,2019-06-21,Twisted Olive Branch,Asaf Avidan,2MJWpmJg51IlOPRZY6amTB
"Marvel's Cloak & Dagger S2E2 - ""White Lines""",https://www.tunefind.com/show/marvels-cloak-and-dagger/season-2/80459,2019-04-04,"Numb - From ""Cloak & Dagger: Sea","Aubrey Joseph, Dan Hening",2QJCwttyjfqbuaLjYj2HTF
"The Good Doctor S2E17 - ""Breakdown""",https://www.tunefind.com/show/the-good-doctor/season-2/78233,2019-03-04,Got It In You (Acoustic),BANNERS,4unF8ldGPeedLz8HRIvgxg
"Lucifer S4E4 - ""All About Eve""",https://www.tunefind.com/show/lucifer/season-4/81553,2019-05-08,Pretty Fool,Beasts With No Name,6LBWmEnLabx2ZQ6iafuN9U
"Lucifer S4E1 - ""Everything's Okay""",https://www.tunefind.com/show/lucifer/season-4/81550,2019-05-08,My Style,Beginners,1CtQeUBqOzqeLWV1iz3Ly1
"Euphoria S1E8 - ""And Salt the Earth Behind You""",https://www.tunefind.com/show/euphoria/season-1/86716,2019-08-04,Dangerous (Oliver Remix),Big Data,3PVukkbEGmJGoyJG2lfBPP
"Sex Education S1E4 - ""Episode 4""",https://www.tunefind.com/show/sex-education/season-1/75493,2019-01-11,Love Really Hurts Without You,Billy Ocean,4GhtDORJiSRYxj6M1bv0vX
"The Good Doctor S2E12 - ""Aftermath""",https://www.tunefind.com/show/the-good-doctor/season-2/76659,2019-01-21,Hold On,Bishop Briggs,06hpxKggHmCHMKbe2K4bKI
"Euphoria S1E6 - ""The Next Episode""",https://www.tunefind.com/show/euphoria/season-1/86211,2019-07-21,Dope House (Chopped & Screwed),Black Oshin,4j1UDKKEWqo5impVUBmMvC
"Euphoria S1E2 - ""Stuntin' Like My Daddy""",https://www.tunefind.com/show/euphoria/season-1/85278,2019-06-23,Fly Me To The Moon (In Other Wor,Bobby Womack,3V2SNCBu9A62TmNeWhiygE
"Dark S2E3 - ""Gespenster""",https://www.tunefind.com/show/dark/season-2/84964,2019-06-21,Melody X,Bonaparte,5rZRM3Lf4eGsMpCDcOJ87C
"Grey's Anatomy S15E12 - ""Girlfriend in a Coma""",https://www.tunefind.com/show/greys-anatomy/season-15/77184,2019-02-07,Stand By Me,Bootstraps,4UQazRVetaFi1TDKUojZFg
"Euphoria S1E6 - ""The Next Episode""",https://www.tunefind.com/show/euphoria/season-1/86211,2019-07-21,Smalltown Boy,Bronski Beat,0FrCX7P2C2hcRTcuhjEvK4
"Euphoria S1E3 - ""Made You Look""",https://www.tunefind.com/show/euphoria/season-1/85589,2019-06-30,Work,Charlotte Day Wilson,42YrWn7KYjhJ2GfjTJ3HSY
"Sex Education S1E2 - ""Episode 2""",https://www.tunefind.com/show/sex-education/season-1/75491,2019-01-11,F**K All the Perfect People,"Chip Taylor, The New Ukrainians",2DFD0Zga3HBwMHIpGnsZJz
"All American S1E10 - ""m.A.A.d. city""",https://www.tunefind.com/show/all-american/season-1/76709,2019-01-23,I'd Never Give You Pain (feat. K,"Cre8v Media Group, LLC",6xWXL3EQYuGBqwRBGy8bAp
"The Umbrella Academy S1E4 - ""Man on the Moon""",https://www.tunefind.com/show/the-umbrella-academy/season-1/77472,2019-02-15,This Year's Love,David Gray,1dQOMZz9SkT7ig0w65lQWC
"Dark S2E4 - ""Die Reisenden""",https://www.tunefind.com/show/dark/season-2/84965,2019-06-21,The World Retreats,David O'Dowda,6wL2rgm1Gf60jgZli5YJqs
"Lucifer S4E4 - ""All About Eve""",https://www.tunefind.com/show/lucifer/season-4/81553,2019-05-08,Hypnos,"Delhia De France, Robot Koch",6UTJFpxupU6LtSOMKTZUJN
"Grey's Anatomy S15E19 - ""Silent All These Years""",https://www.tunefind.com/show/greys-anatomy/season-15/79466,2019-03-28,Everywhere Ghosts Hide (feat. UN,Erin McCarley,4zfTTwE7QDS4tVAYtJV8WH
"Sex Education S1E1 - ""Episode 1""",https://www.tunefind.com/show/sex-education/season-1/75456,2019-01-11,I’m Coming Clean,Ezra Furman,5Ubqbm1quUOpXy0cRMOVmP
"Sex Education S1E3 - ""Episode 3""",https://www.tunefind.com/show/sex-education/season-1/75492,2019-01-11,Every Feeling,Ezra Furman,0C2PTGRyAe4WxnMzqE2k1H
"Sex Education S1E1 - ""Episode 1""",https://www.tunefind.com/show/sex-education/season-1/75456,2019-01-11,Love You So Bad,Ezra Furman,5141H4ftZMaTJIuMOhJ5J3
"Sex Education S1E1 - ""Episode 1""",https://www.tunefind.com/show/sex-education/season-1/75456,2019-01-11,Dr Jekyll & Mr Hyde,Ezra Furman,5C1sp58a5g9a4YZanB81Vi
"Sex Education S1E2 - ""Episode 2""",https://www.tunefind.com/show/sex-education/season-1/75491,2019-01-11,Restless Year,Ezra Furman,7lKhRwHEPeGBhKeCcyXKGC
