episode,song,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_secs,time_signature
"Lucifer S4E10 - ""Who's da New King of Hell?""",Heroes & Legends,3 One Oh,6JMRQPfLQSvDcVRBwfSjsm,0.621,0.814,A,-6.667,TRUE,0.267,0.317,6.51E-06,0.144,0.317,61.723,152,4
"Lucifer S4E3 - ""O, Ye of Little Faith, Father""",Haunted,Adona,0ggdUU9CzynaJYu9sls52G,0.279,0.275,C,-15.071,TRUE,0.0335,0.39,2.65E-01,0.068,0.0486,147.606,294,4
"Lucifer S4E10 - ""Who's da New King of Hell?""",My Love Will Never Die,"AG, Claire Wyndham",15l4UEZ7f3Ybm1bTA10iAF,0.274,0.295,G,-14.627,TRUE,0.0444,0.144,4.59E-03,0.0866,0.0551,137.284,218,3
"Euphoria S1E1 - ""Pilot""",Run Cried the Crawling,Agnes Obel,4w8i7d8Qw3Z0jkBhVS3F2I,0.502,0.337,"G♯,A♭",-14.775,TRUE,0.037,0.981,5.42E-01,0.102,0.365,187.814,264,4
"Sex Education S1E7 - ""Episode 7""",Tired of Being Alone,Al Green,3Ke6bQZOOLYvXTkTpHuhrp,0.744,0.302,G,-13.526,TRUE,0.0443,0.518,1.87E-04,0.0917,0.619,98.16,174,4
"Euphoria S1E7 - ""The Trials and Tribulations of Trying to Pee While Depressed""",Be Mine,Amandla Stenberg,2x4LhG3gcVGIK5zuKl5bTJ,0.781,0.396,C,-11.661,TRUE,0.0732,0.687,1.40E-02,0.0761,0.518,127.073,220,4
"Euphoria S1E1 - ""Pilot""",Can't Get Used to Losing You,Andy Williams,41zpWL98BsYKP5nvtdTM5z,0.413,0.164,C,-14.579,TRUE,0.0378,0.914,1.40E-05,0.0883,0.845,183.178,142,4
"Sex Education S1E1 - ""Episode 1""",I Can't Stand the Rain,Ann Peebles,0CcL4kSHKIEwF3IW0BGgb6,0.727,0.387,"C♯,D♭",-12.333,TRUE,0.0412,0.248,1.02E-02,0.0625,0.966,160.395,150,4
"Euphoria S1E4 - ""Shook One Pt. II""",In My Dreams,ANOHNI,4bldw7te0ETMwhn6HbPxDk,0.175,0.221,F,-24.627,FALSE,0.0561,0.926,9.37E-01,0.105,0.214,136.335,181,3
"Euphoria S1E8 - ""And Salt the Earth Behind You""",My Body Is a Cage,Arcade Fire,03i62TCU8OBzX7HutmWqVf,0.287,0.48,C,-8.69,FALSE,0.0334,0.31,6.08E-02,0.287,0.324,81.269,287,4
